checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property_magnitude,age,other_installment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,is_high_risk
menos_de_0_DM,24,cuenta_critica_otros_bancos,coche_nuevo,1199,menos_de_100_DM,7_anios_o_mas,4,,ninguno,4,coche_u_otro,60,ninguno,propia,2,no_cualificado_residente,1,no,si,1
menos_de_0_DM,15,pagados_hasta_ahora,coche_nuevo,1403,menos_de_100_DM,1_a_4_anios,2,mujer_divorciada_separada_casada,ninguno,4,coche_u_otro,28,ninguno,alquiler,1,empleado_cualificado,1,no,si,0
menos_de_0_DM,24,pagados_hasta_ahora,radio_tv,1282,100_a_500_DM,1_a_4_anios,4,mujer_divorciada_separada_casada,ninguno,2,coche_u_otro,32,ninguno,propia,1,no_cualificado_residente,1,no,si,1
sin_cuenta_corriente,24,cuenta_critica_otros_bancos,radio_tv,2424,desconocido_sin_cuenta_ahorro,7_anios_o_mas,4,hombre_soltero,ninguno,4,seguro_vida_o_similar,53,ninguno,propia,2,empleado_cualificado,1,no,si,0
menos_de_0_DM,30,sin_creditos_previos,negocio,8072,desconocido_sin_cuenta_ahorro,menos_de_1_anio,2,hombre_soltero,ninguno,3,coche_u_otro,25,banco,propia,3,empleado_cualificado,1,no,si,0
0_a_200_DM,24,pagados_hasta_ahora,coche_usado,12579,menos_de_100_DM,7_anios_o_mas,4,mujer_divorciada_separada_casada,ninguno,2,desconocido_sin_propiedad,44,ninguno,gratuita,1,directivo_autonomo_alta_cualificacion,1,si,si,1
sin_cuenta_corriente,24,pagados_hasta_ahora,radio_tv,3430,500_a_1000_DM,7_anios_o_mas,3,hombre_soltero,ninguno,2,coche_u_otro,31,ninguno,propia,1,empleado_cualificado,2,si,si,0
sin_cuenta_corriente,9,cuenta_critica_otros_bancos,coche_nuevo,2134,menos_de_100_DM,1_a_4_anios,4,hombre_soltero,ninguno,4,coche_u_otro,48,ninguno,propia,3,empleado_cualificado,1,si,si,0
menos_de_0_DM,6,pagados_hasta_ahora,radio_tv,2647,500_a_1000_DM,1_a_4_anios,2,hombre_soltero,ninguno,3,inmueble,44,ninguno,alquiler,1,empleado_cualificado,2,no,si,0
menos_de_0_DM,10,cuenta_critica_otros_bancos,coche_nuevo,2241,menos_de_100_DM,menos_de_1_anio,1,hombre_soltero,ninguno,3,inmueble,48,ninguno,alquiler,2,no_cualificado_residente,2,no,no,0
0_a_200_DM,12,cuenta_critica_otros_bancos,coche_usado,1804,100_a_500_DM,menos_de_1_anio,3,hombre_soltero,ninguno,4,seguro_vida_o_similar,,ninguno,propia,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,10,cuenta_critica_otros_bancos,mobiliario,2069,desconocido_sin_cuenta_ahorro,1_a_4_anios,2,hombre_casado_viudo,ninguno,1,coche_u_otro,26,ninguno,propia,2,empleado_cualificado,1,no,no,0
menos_de_0_DM,6,pagados_hasta_ahora,mobiliario,1374,menos_de_100_DM,1_a_4_anios,1,hombre_soltero,ninguno,2,inmueble,36,banco,propia,1,no_cualificado_residente,1,si,si,0
sin_cuenta_corriente,6,sin_creditos_previos,radio_tv,426,menos_de_100_DM,7_anios_o_mas,4,hombre_casado_viudo,ninguno,4,coche_u_otro,39,ninguno,propia,1,no_cualificado_residente,1,no,si,0
200_DM_o_mas,12,todos_pagados_en_este_banco,radio_tv,409,1000_DM_o_mas,1_a_4_anios,3,mujer_divorciada_separada_casada,ninguno,3,inmueble,42,ninguno,alquiler,2,empleado_cualificado,1,no,si,0
0_a_200_DM,7,pagados_hasta_ahora,radio_tv,2415,menos_de_100_DM,1_a_4_anios,3,hombre_soltero,avalista,2,inmueble,34,ninguno,propia,1,empleado_cualificado,1,no,si,0
menos_de_0_DM,60,retraso_en_pagos_previos,negocio,6836,menos_de_100_DM,7_anios_o_mas,3,hombre_soltero,ninguno,4,desconocido_sin_propiedad,63,ninguno,propia,2,empleado_cualificado,1,si,si,1
0_a_200_DM,18,pagados_hasta_ahora,negocio,1913,1000_DM_o_mas,menos_de_1_anio,3,hombre_casado_viudo,ninguno,3,inmueble,36,banco,propia,1,empleado_cualificado,1,si,si,0
menos_de_0_DM,24,pagados_hasta_ahora,mobiliario,4020,menos_de_100_DM,1_a_4_anios,2,hombre_soltero,ninguno,2,coche_u_otro,27,tiendas,propia,1,empleado_cualificado,1,no,si,0
0_a_200_DM,18,pagados_hasta_ahora,coche_nuevo,5866,100_a_500_DM,1_a_4_anios,2,hombre_soltero,ninguno,2,coche_u_otro,30,ninguno,propia,2,empleado_cualificado,1,si,si,0
sin_cuenta_corriente,12,cuenta_critica_otros_bancos,negocio,1264,desconocido_sin_cuenta_ahorro,7_anios_o_mas,4,hombre_soltero,ninguno,4,desconocido_sin_propiedad,57,ninguno,alquiler,1,no_cualificado_residente,1,no,si,0
200_DM_o_mas,12,pagados_hasta_ahora,mobiliario,1474,menos_de_100_DM,menos_de_1_anio,4,mujer_divorciada_separada_casada,ninguno,1,seguro_vida_o_similar,33,banco,propia,1,directivo_autonomo_alta_cualificacion,1,si,si,0
0_a_200_DM,45,cuenta_critica_otros_bancos,radio_tv,4746,menos_de_100_DM,menos_de_1_anio,4,hombre_soltero,ninguno,2,seguro_vida_o_similar,25,ninguno,propia,2,no_cualificado_residente,1,no,si,1
sin_cuenta_corriente,48,cuenta_critica_otros_bancos,educacion,6110,menos_de_100_DM,1_a_4_anios,1,hombre_soltero,ninguno,3,desconocido_sin_propiedad,31,banco,gratuita,1,empleado_cualificado,1,si,si,0
200_DM_o_mas,18,pagados_hasta_ahora,radio_tv,2100,menos_de_100_DM,1_a_4_anios,4,hombre_soltero,codeudor,2,inmueble,37,tiendas,propia,1,empleado_cualificado,1,no,si,1
200_DM_o_mas,10,pagados_hasta_ahora,electrodomesticos,1225,menos_de_100_DM,1_a_4_anios,2,hombre_soltero,ninguno,2,coche_u_otro,37,ninguno,propia,1,empleado_cualificado,1,si,si,0
0_a_200_DM,9,pagados_hasta_ahora,radio_tv,458,menos_de_100_DM,1_a_4_anios,4,hombre_soltero,ninguno,3,inmueble,24,ninguno,propia,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,30,pagados_hasta_ahora,radio_tv,2333,500_a_1000_DM,7_anios_o_mas,4,hombre_soltero,ninguno,2,coche_u_otro,30,banco,propia,1,directivo_autonomo_alta_cualificacion,1,no,si,0
0_a_200_DM,12,pagados_hasta_ahora,radio_tv,1158,500_a_1000_DM,1_a_4_anios,3,hombre_divorciado_separado,ninguno,1,coche_u_otro,26,ninguno,propia,1,empleado_cualificado,1,si,si,0
0_a_200_DM,18,retraso_en_pagos_previos,reparaciones,6204,menos_de_100_DM,1_a_4_anios,2,hombre_soltero,ninguno,4,inmueble,44,ninguno,propia,1,no_cualificado_residente,2,si,si,0
menos_de_0_DM,30,cuenta_critica_otros_bancos,coche_usado,6187,100_a_500_DM,4_a_7_anios,1,hombre_casado_viudo,ninguno,4,coche_u_otro,24,ninguno,alquiler,2,empleado_cualificado,1,no,si,0
menos_de_0_DM,48,cuenta_critica_otros_bancos,coche_usado,6143,menos_de_100_DM,7_anios_o_mas,4,mujer_divorciada_separada_casada,ninguno,4,desconocido_sin_propiedad,58,tiendas,gratuita,2,no_cualificado_residente,1,no,si,1
sin_cuenta_corriente,11,cuenta_critica_otros_bancos,coche_nuevo,1393,menos_de_100_DM,menos_de_1_anio,4,mujer_divorciada_separada_casada,ninguno,4,coche_u_otro,35,ninguno,propia,2,directivo_autonomo_alta_cualificacion,1,no,si,0
sin_cuenta_corriente,36,pagados_hasta_ahora,radio_tv,2299,500_a_1000_DM,7_anios_o_mas,4,hombre_soltero,ninguno,4,coche_u_otro,39,ninguno,propia,1,empleado_cualificado,1,no,si,0
menos_de_0_DM,6,pagados_hasta_ahora,coche_usado,1352,500_a_1000_DM,desempleado,1,mujer_divorciada_separada_casada,ninguno,2,seguro_vida_o_similar,23,ninguno,alquiler,1,no_cualificado_no_residente,1,si,si,0
sin_cuenta_corriente,11,cuenta_critica_otros_bancos,coche_nuevo,7228,menos_de_100_DM,1_a_4_anios,1,hombre_soltero,ninguno,4,seguro_vida_o_similar,39,ninguno,propia,2,no_cualificado_residente,1,no,si,0
sin_cuenta_corriente,12,pagados_hasta_ahora,radio_tv,2073,100_a_500_DM,1_a_4_anios,4,mujer_divorciada_separada_casada,codeudor,2,inmueble,28,ninguno,propia,1,empleado_cualificado,1,no,si,0
0_a_200_DM,24,retraso_en_pagos_previos,mobiliario,2333,desconocido_sin_cuenta_ahorro,menos_de_1_anio,4,hombre_soltero,ninguno,2,seguro_vida_o_similar,29,banco,propia,1,no_cualificado_residente,1,no,si,0
0_a_200_DM,27,retraso_en_pagos_previos,coche_usado,5965,menos_de_100_DM,7_anios_o_mas,1,hombre_soltero,ninguno,2,coche_u_otro,30,ninguno,propia,2,directivo_autonomo_alta_cualificacion,1,si,si,0
sin_cuenta_corriente,12,pagados_hasta_ahora,radio_tv,1262,menos_de_100_DM,1_a_4_anios,3,hombre_soltero,ninguno,2,coche_u_otro,25,ninguno,propia,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,18,pagados_hasta_ahora,coche_usado,3378,desconocido_sin_cuenta_ahorro,1_a_4_anios,2,hombre_soltero,ninguno,1,seguro_vida_o_similar,31,ninguno,propia,1,empleado_cualificado,1,si,si,0
0_a_200_DM,36,retraso_en_pagos_previos,coche_nuevo,2225,menos_de_100_DM,7_anios_o_mas,4,hombre_soltero,ninguno,4,desconocido_sin_propiedad,57,banco,gratuita,2,empleado_cualificado,1,si,si,1
sin_cuenta_corriente,6,todos_pagados_en_este_banco,coche_nuevo,783,desconocido_sin_cuenta_ahorro,1_a_4_anios,1,hombre_soltero,avalista,2,inmueble,26,tiendas,propia,1,no_cualificado_residente,2,no,si,0
0_a_200_DM,12,pagados_hasta_ahora,radio_tv,6468,desconocido_sin_cuenta_ahorro,desempleado,2,hombre_soltero,ninguno,1,desconocido_sin_propiedad,52,ninguno,propia,1,directivo_autonomo_alta_cualificacion,1,si,si,1
sin_cuenta_corriente,36,cuenta_critica_otros_bancos,radio_tv,9566,menos_de_100_DM,1_a_4_anios,2,mujer_divorciada_separada_casada,ninguno,2,coche_u_otro,31,tiendas,propia,2,empleado_cualificado,1,no,si,0
200_DM_o_mas,18,pagados_hasta_ahora,coche_nuevo,1961,menos_de_100_DM,7_anios_o_mas,3,mujer_divorciada_separada_casada,ninguno,2,coche_u_otro,23,ninguno,propia,1,directivo_autonomo_alta_cualificacion,1,no,si,0
menos_de_0_DM,36,cuenta_critica_otros_bancos,mobiliario,6229,menos_de_100_DM,menos_de_1_anio,4,mujer_divorciada_separada_casada,codeudor,4,desconocido_sin_propiedad,23,ninguno,alquiler,2,no_cualificado_residente,1,si,si,1
0_a_200_DM,9,pagados_hasta_ahora,negocio,1391,menos_de_100_DM,1_a_4_anios,2,hombre_casado_viudo,ninguno,1,inmueble,27,banco,propia,1,empleado_cualificado,1,si,si,0
0_a_200_DM,15,cuenta_critica_otros_bancos,radio_tv,1537,desconocido_sin_cuenta_ahorro,7_anios_o_mas,4,hombre_soltero,avalista,4,inmueble,50,ninguno,propia,2,empleado_cualificado,1,si,si,0
0_a_200_DM,36,sin_creditos_previos,negocio,1953,menos_de_100_DM,7_anios_o_mas,4,hombre_soltero,ninguno,4,desconocido_sin_propiedad,61,ninguno,gratuita,1,directivo_autonomo_alta_cualificacion,1,si,si,1
0_a_200_DM,48,sin_creditos_previos,negocio,14421,menos_de_100_DM,1_a_4_anios,2,hombre_soltero,ninguno,2,coche_u_otro,25,ninguno,propia,1,empleado_cualificado,1,si,si,1
sin_cuenta_corriente,24,pagados_hasta_ahora,radio_tv,3181,menos_de_100_DM,menos_de_1_anio,4,mujer_divorciada_separada_casada,ninguno,4,seguro_vida_o_similar,26,ninguno,propia,1,empleado_cualificado,1,si,si,0
sin_cuenta_corriente,27,pagados_hasta_ahora,reparaciones,5190,desconocido_sin_cuenta_ahorro,7_anios_o_mas,4,hombre_soltero,ninguno,4,seguro_vida_o_similar,48,ninguno,propia,4,empleado_cualificado,2,si,si,0
sin_cuenta_corriente,12,pagados_hasta_ahora,radio_tv,2171,menos_de_100_DM,menos_de_1_anio,2,mujer_divorciada_separada_casada,ninguno,2,coche_u_otro,29,banco,propia,1,empleado_cualificado,1,no,si,0
0_a_200_DM,12,pagados_hasta_ahora,coche_nuevo,1007,1000_DM_o_mas,1_a_4_anios,4,hombre_casado_viudo,ninguno,1,inmueble,22,ninguno,propia,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,36,pagados_hasta_ahora,educacion,1819,menos_de_100_DM,1_a_4_anios,4,hombre_soltero,ninguno,4,desconocido_sin_propiedad,37,tiendas,gratuita,1,empleado_cualificado,1,si,si,1
sin_cuenta_corriente,36,pagados_hasta_ahora,radio_tv,2394,desconocido_sin_cuenta_ahorro,1_a_4_anios,4,mujer_divorciada_separada_casada,ninguno,4,coche_u_otro,25,ninguno,propia,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,36,pagados_hasta_ahora,coche_usado,8133,menos_de_100_DM,1_a_4_anios,1,mujer_divorciada_separada_casada,ninguno,2,seguro_vida_o_similar,30,banco,propia,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,7,cuenta_critica_otros_bancos,radio_tv,730,desconocido_sin_cuenta_ahorro,7_anios_o_mas,4,hombre_soltero,ninguno,2,seguro_vida_o_similar,46,ninguno,alquiler,2,no_cualificado_residente,1,si,si,0
menos_de_0_DM,8,cuenta_critica_otros_bancos,otros,1164,menos_de_100_DM,7_anios_o_mas,3,hombre_soltero,ninguno,4,desconocido_sin_propiedad,51,banco,gratuita,2,directivo_autonomo_alta_cualificacion,2,si,si,0
0_a_200_DM,42,cuenta_critica_otros_bancos,negocio,5954,menos_de_100_DM,4_a_7_anios,2,mujer_divorciada_separada_casada,ninguno,1,inmueble,41,banco,propia,2,no_cualificado_residente,1,no,si,0
menos_de_0_DM,36,pagados_hasta_ahora,educacion,1977,desconocido_sin_cuenta_ahorro,7_anios_o_mas,4,hombre_soltero,ninguno,4,desconocido_sin_propiedad,40,ninguno,propia,1,directivo_autonomo_alta_cualificacion,1,si,si,1
menos_de_0_DM,12,cuenta_critica_otros_bancos,coche_usado,1526,menos_de_100_DM,7_anios_o_mas,4,hombre_soltero,ninguno,4,desconocido_sin_propiedad,66,ninguno,gratuita,2,directivo_autonomo_alta_cualificacion,1,no,si,0
menos_de_0_DM,42,pagados_hasta_ahora,radio_tv,3965,menos_de_100_DM,menos_de_1_anio,4,hombre_soltero,ninguno,3,coche_u_otro,34,ninguno,propia,1,empleado_cualificado,1,no,si,1
0_a_200_DM,11,retraso_en_pagos_previos,radio_tv,4771,menos_de_100_DM,4_a_7_anios,2,hombre_soltero,ninguno,4,seguro_vida_o_similar,51,ninguno,propia,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,54,sin_creditos_previos,coche_usado,9436,desconocido_sin_cuenta_ahorro,1_a_4_anios,2,hombre_soltero,ninguno,2,seguro_vida_o_similar,39,ninguno,propia,1,no_cualificado_residente,2,no,si,0
0_a_200_DM,30,pagados_hasta_ahora,mobiliario,3832,menos_de_100_DM,menos_de_1_anio,2,hombre_casado_viudo,ninguno,1,seguro_vida_o_similar,22,ninguno,propia,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,24,pagados_hasta_ahora,radio_tv,5943,desconocido_sin_cuenta_ahorro,menos_de_1_anio,1,mujer_divorciada_separada_casada,ninguno,1,coche_u_otro,44,ninguno,propia,2,empleado_cualificado,1,si,si,1
sin_cuenta_corriente,15,pagados_hasta_ahora,radio_tv,1213,500_a_1000_DM,7_anios_o_mas,4,hombre_soltero,ninguno,3,seguro_vida_o_similar,47,tiendas,propia,1,empleado_cualificado,1,si,si,0
sin_cuenta_corriente,18,pagados_hasta_ahora,negocio,1568,100_a_500_DM,1_a_4_anios,3,mujer_divorciada_separada_casada,ninguno,4,seguro_vida_o_similar,24,ninguno,alquiler,1,no_cualificado_residente,1,no,si,0
menos_de_0_DM,24,pagados_hasta_ahora,otros,1755,menos_de_100_DM,7_anios_o_mas,4,mujer_divorciada_separada_casada,avalista,4,inmueble,58,ninguno,propia,1,no_cualificado_residente,1,si,si,0
menos_de_0_DM,10,pagados_hasta_ahora,radio_tv,2315,menos_de_100_DM,7_anios_o_mas,3,hombre_soltero,ninguno,4,inmueble,52,ninguno,propia,1,no_cualificado_residente,1,no,si,0
sin_cuenta_corriente,12,cuenta_critica_otros_bancos,negocio,1412,menos_de_100_DM,1_a_4_anios,4,mujer_divorciada_separada_casada,avalista,2,inmueble,29,ninguno,propia,2,directivo_autonomo_alta_cualificacion,1,si,si,0
0_a_200_DM,18,cuenta_critica_otros_bancos,mobiliario,1295,menos_de_100_DM,menos_de_1_anio,4,mujer_divorciada_separada_casada,ninguno,1,seguro_vida_o_similar,27,ninguno,propia,2,empleado_cualificado,1,no,si,0
0_a_200_DM,36,pagados_hasta_ahora,educacion,12612,100_a_500_DM,1_a_4_anios,1,hombre_soltero,ninguno,4,desconocido_sin_propiedad,47,ninguno,gratuita,1,empleado_cualificado,2,si,si,1
menos_de_0_DM,18,pagados_hasta_ahora,coche_nuevo,2249,100_a_500_DM,4_a_7_anios,4,hombre_soltero,ninguno,3,coche_u_otro,30,ninguno,propia,1,directivo_autonomo_alta_cualificacion,2,si,si,0
menos_de_0_DM,12,sin_creditos_previos,reparaciones,1108,menos_de_100_DM,4_a_7_anios,4,hombre_soltero,ninguno,3,inmueble,28,ninguno,propia,2,empleado_cualificado,1,no,si,1
sin_cuenta_corriente,12,cuenta_critica_otros_bancos,radio_tv,618,menos_de_100_DM,7_anios_o_mas,4,hombre_soltero,ninguno,4,inmueble,56,ninguno,propia,1,empleado_cualificado,1,no,si,0
menos_de_0_DM,12,cuenta_critica_otros_bancos,coche_usado,1409,menos_de_100_DM,7_anios_o_mas,4,hombre_soltero,ninguno,3,inmueble,54,ninguno,propia,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,12,cuenta_critica_otros_bancos,radio_tv,797,desconocido_sin_cuenta_ahorro,7_anios_o_mas,4,mujer_divorciada_separada_casada,ninguno,3,seguro_vida_o_similar,33,banco,propia,1,no_cualificado_residente,2,no,si,1
200_DM_o_mas,24,cuenta_critica_otros_bancos,mobiliario,3617,desconocido_sin_cuenta_ahorro,7_anios_o_mas,4,hombre_soltero,codeudor,4,desconocido_sin_propiedad,20,ninguno,alquiler,2,empleado_cualificado,1,no,si,0
0_a_200_DM,12,pagados_hasta_ahora,coche_nuevo,1318,1000_DM_o_mas,7_anios_o_mas,4,hombre_soltero,ninguno,4,inmueble,54,ninguno,propia,1,empleado_cualificado,1,si,si,0
0_a_200_DM,54,sin_creditos_previos,negocio,15945,menos_de_100_DM,menos_de_1_anio,3,hombre_soltero,ninguno,4,desconocido_sin_propiedad,58,ninguno,alquiler,1,empleado_cualificado,1,si,si,1
sin_cuenta_corriente,12,cuenta_critica_otros_bancos,educacion,2012,desconocido_sin_cuenta_ahorro,4_a_7_anios,4,mujer_divorciada_separada_casada,ninguno,2,coche_u_otro,61,ninguno,propia,1,empleado_cualificado,1,no,si,0
0_a_200_DM,18,pagados_hasta_ahora,negocio,2622,100_a_500_DM,1_a_4_anios,4,hombre_soltero,ninguno,4,coche_u_otro,34,ninguno,propia,1,empleado_cualificado,1,no,si,0
0_a_200_DM,36,cuenta_critica_otros_bancos,radio_tv,2337,menos_de_100_DM,7_anios_o_mas,4,hombre_soltero,ninguno,4,inmueble,36,ninguno,propia,1,empleado_cualificado,1,no,si,0
0_a_200_DM,20,retraso_en_pagos_previos,coche_usado,7057,desconocido_sin_cuenta_ahorro,4_a_7_anios,3,hombre_soltero,ninguno,4,seguro_vida_o_similar,36,banco,alquiler,2,directivo_autonomo_alta_cualificacion,2,si,si,0
sin_cuenta_corriente,24,pagados_hasta_ahora,coche_nuevo,1469,100_a_500_DM,7_anios_o_mas,4,hombre_casado_viudo,ninguno,4,inmueble,41,ninguno,alquiler,1,no_cualificado_residente,1,no,si,0
0_a_200_DM,36,pagados_hasta_ahora,radio_tv,2323,menos_de_100_DM,4_a_7_anios,4,hombre_soltero,ninguno,4,coche_u_otro,24,ninguno,alquiler,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,6,retraso_en_pagos_previos,radio_tv,932,menos_de_100_DM,1_a_4_anios,3,mujer_divorciada_separada_casada,ninguno,2,inmueble,24,ninguno,propia,1,empleado_cualificado,1,no,si,0
0_a_200_DM,9,cuenta_critica_otros_bancos,mobiliario,1919,menos_de_100_DM,4_a_7_anios,4,hombre_soltero,ninguno,3,coche_u_otro,35,ninguno,alquiler,1,empleado_cualificado,1,si,si,0
sin_cuenta_corriente,12,pagados_hasta_ahora,coche_usado,2445,desconocido_sin_cuenta_ahorro,menos_de_1_anio,2,hombre_casado_viudo,ninguno,4,coche_u_otro,26,ninguno,alquiler,1,empleado_cualificado,1,si,si,0
0_a_200_DM,24,cuenta_critica_otros_bancos,otros,11938,menos_de_100_DM,1_a_4_anios,2,hombre_soltero,codeudor,3,coche_u_otro,39,ninguno,propia,2,directivo_autonomo_alta_cualificacion,2,si,si,1
sin_cuenta_corriente,18,todos_pagados_en_este_banco,coche_nuevo,6458,menos_de_100_DM,7_anios_o_mas,2,hombre_soltero,ninguno,4,desconocido_sin_propiedad,39,banco,propia,2,directivo_autonomo_alta_cualificacion,2,si,si,1
0_a_200_DM,12,pagados_hasta_ahora,coche_nuevo,6078,menos_de_100_DM,4_a_7_anios,2,hombre_soltero,ninguno,2,coche_u_otro,32,ninguno,propia,1,empleado_cualificado,1,no,si,0
menos_de_0_DM,24,pagados_hasta_ahora,mobiliario,7721,desconocido_sin_cuenta_ahorro,menos_de_1_anio,1,mujer_divorciada_separada_casada,ninguno,2,seguro_vida_o_similar,30,ninguno,propia,1,empleado_cualificado,1,si,no,0
0_a_200_DM,14,pagados_hasta_ahora,negocio,1410,500_a_1000_DM,7_anios_o_mas,1,hombre_casado_viudo,ninguno,2,inmueble,35,ninguno,propia,1,empleado_cualificado,1,si,si,0
0_a_200_DM,6,retraso_en_pagos_previos,negocio,1449,100_a_500_DM,7_anios_o_mas,1,hombre_divorciado_separado,ninguno,2,coche_u_otro,31,banco,propia,2,empleado_cualificado,2,no,si,0
200_DM_o_mas,15,pagados_hasta_ahora,educacion,392,menos_de_100_DM,menos_de_1_anio,4,mujer_divorciada_separada_casada,ninguno,4,seguro_vida_o_similar,23,ninguno,alquiler,1,empleado_cualificado,1,si,si,0
0_a_200_DM,18,pagados_hasta_ahora,coche_nuevo,6260,menos_de_100_DM,4_a_7_anios,3,hombre_soltero,ninguno,3,inmueble,28,ninguno,alquiler,1,no_cualificado_residente,1,no,si,0
sin_cuenta_corriente,36,cuenta_critica_otros_bancos,coche_nuevo,7855,menos_de_100_DM,1_a_4_anios,4,mujer_divorciada_separada_casada,ninguno,2,inmueble,25,tiendas,propia,2,empleado_cualificado,1,si,si,1
menos_de_0_DM,12,pagados_hasta_ahora,radio_tv,1680,500_a_1000_DM,7_anios_o_mas,3,hombre_casado_viudo,ninguno,1,inmueble,35,ninguno,propia,1,empleado_cualificado,1,no,si,0
sin_cuenta_corriente,48,cuenta_critica_otros_bancos,radio_tv,3578,desconocido_sin_cuenta_ahorro,7_anios_o_mas,4,hombre_soltero,ninguno,1,inmueble,47,ninguno,propia,1,empleado_cualificado,1,si,si,0
menos_de_0_DM,42,pagados_hasta_ahora,radio_tv,7174,desconocido_sin_cuenta_ahorro,4_a_7_anios,4,mujer_divorciada_separada_casada,ninguno,3,coche_u_otro,30,ninguno,propia,1,directivo_autonomo_alta_cualificacion,1,si,si,1
menos_de_0_DM,10,cuenta_critica_otros_bancos,mobiliario,2132,desconocido_sin_cuenta_ahorro,menos_de_1_anio,2,mujer_divorciada_separada_casada,codeudor,3,inmueble,27,ninguno,alquiler,2,empleado_cualificado,1,no,no,0
menos_de_0_DM,33,cuenta_critica_otros_bancos,mobiliario,4281,500_a_1000_DM,1_a_4_anios,1,mujer_divorciada_separada_casada,ninguno,4,coche_u_otro,23,ninguno,propia,2,empleado_cualificado,1,no,si,1
0_a_200_DM,12,cuenta_critica_otros_bancos,coche_nuevo,2366,500_a_1000_DM,4_a_7_anios,3,hombre_divorciado_separado,ninguno,3,coche_u_otro,36,ninguno,propia,1,directivo_autonomo_alta_cualificacion,1,si,si,0
